Time,Position_X,Position_Y,Velocity_X,Velocity_Y,Power,Angle,Force,Rocket_Fuel
2023-05-24 00:01:08,151473221487.38785,8436995.490297785,879.827331686602,879.827331686602,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221502.05164,8437501.874137059,879.8263933920584,879.8263933920584,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221516.71542,8438008.25528065,879.8254547312449,879.8254547312449,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221531.37918,8438514.633728566,879.8245157041639,879.8245157041639,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221546.0429,8439021.009480815,879.8235763108186,879.8235763108186,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221560.70663,8439527.382537408,879.8226365512121,879.8226365512121,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221575.37033,8440033.75289835,879.8216964253469,879.8216964253469,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221590.03403,8440540.120563652,879.8207559332262,879.8207559332262,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221604.6977,8441046.485533323,879.8198150748524,879.8198150748524,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221619.36136,8441552.84780737,879.8188738502287,879.8188738502287,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221634.025,8442059.207385803,879.8179322593573,879.8179322593573,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221648.68863,8442565.564268628,879.8169903022417,879.8169903022417,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221663.35223,8443071.918455856,879.8160479788841,879.8160479788841,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221678.01584,8443578.269947493,879.8151052892869,879.8151052892869,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221692.6794,8444084.61874355,879.8141622334525,879.8141622334525,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221707.343,8444590.964844033,879.8132188113842,879.8132188113842,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221722.00653,8445097.308248952,879.8122750230843,879.8122750230843,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221736.67007,8445603.648958316,879.8113308685561,879.8113308685561,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221751.3336,8446109.986972133,879.8103863478018,879.8103863478018,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221765.9971,8446616.322290411,879.8094414608246,879.8094414608246,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221780.66058,8447122.65491316,879.808496207627,879.808496207627,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221795.32407,8447628.984840386,879.807550588212,879.807550588212,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221809.98752,8448135.312072098,879.8066046025823,879.8066046025823,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221824.65097,8448641.636608306,879.8056582507407,879.8056582507407,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221839.3144,8449147.958449017,879.8047115326899,879.8047115326899,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221853.9778,8449654.27759424,879.8037644484328,879.8037644484328,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221868.6412,8450160.594043985,879.802816997972,879.802816997972,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221883.3046,8450666.907798259,879.8018691813104,879.8018691813104,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221897.96796,8451173.218857069,879.8009209984506,879.8009209984506,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221912.63132,8451679.527220424,879.7999724493957,879.7999724493957,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221927.29465,8452185.832888335,879.799023534148,879.799023534148,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221941.95798,8452692.135860808,879.7980742527106,879.7980742527106,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221956.62128,8453198.436137853,879.7971246050854,879.7971246050854,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221971.28458,8453704.733719477,879.7961745912753,879.7961745912753,0,2.0,1,2000.0
2023-05-24 00:01:08,151473221985.94785,8454211.02860569,879.7952242112827,879.7952242112827,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222000.61108,8454717.320796499,879.7942734651109,879.7942734651109,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222015.27432,8455223.610291913,879.7933223527629,879.7933223527629,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222029.93753,8455729.89709194,879.792370874241,879.792370874241,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222044.60074,8456236.181196589,879.7914190295485,879.7914190295485,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222059.26392,8456742.462605868,879.7904668186876,879.7904668186876,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222073.9271,8457248.741319785,879.7895142416615,879.7895142416615,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222088.59024,8457755.01733835,879.7885612984727,879.7885612984727,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222103.2534,8458261.290661572,879.7876079891242,879.7876079891242,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222117.9165,8458767.561289456,879.7866543136184,879.7866543136184,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222132.57962,8459273.829222012,879.7857002719585,879.7857002719585,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222147.2427,8459780.09445925,879.7847458641467,879.7847458641467,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222161.9058,8460286.357001178,879.7837910901861,879.7837910901861,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222176.56885,8460792.616847802,879.7828359500793,879.7828359500793,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222191.2319,8461298.873999132,879.7818804438292,879.7818804438292,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222205.89493,8461805.128455177,879.7809245714383,879.7809245714383,0,2.0,1,2000.0
